branch_id,branch_name,location,manager_name,opened_date,region,branch_type,contact_number
B001,Branch_1,Hyderabad,Manager_1,2005-02-09,East,Rural,+91-8274350418
B002,Branch_2,Mumbai,Manager_2,2017-05-03,South,Urban,+91-7935018220
B003,Branch_3,Mumbai,Manager_3,2006-06-28,South,Urban,+91-7251183830
B004,Branch_4,Hyderabad,Manager_4,2001-10-15,East,Urban,+91-9487560384
B005,Branch_5,Chennai,Manager_5,2019-03-08,West,Urban,+91-9328710672
B006,Branch_6,Delhi,Manager_6,2005-03-22,West,Urban,+91-7261810763
B007,Branch_7,Delhi,Manager_7,2019-06-08,East,Urban,+91-8346922426
B008,Branch_8,Delhi,Manager_8,2002-04-07,South,Urban,+91-7245522987
B009,Branch_9,Hyderabad,Manager_9,2008-07-10,South,Urban,+91-7215359682
B010,Branch_10,Mumbai,Manager_10,2006-03-27,West,Urban,+91-9509023674
B011,Branch_11,Hyderabad,Manager_11,2010-03-03,North,Rural,+91-9047791082
B012,Branch_12,Hyderabad,Manager_12,2014-04-04,North,Urban,+91-9159725924
B013,Branch_13,Bangalore,Manager_13,2018-09-16,North,Urban,+91-9281169403
B014,Branch_14,Mumbai,Manager_14,2008-03-07,South,Rural,+91-7676168421
B015,Branch_15,Bangalore,Manager_15,2003-08-25,South,Rural,+91-7244295904
B016,Branch_16,Kolkata,Manager_16,2008-04-20,West,Urban,+91-9181106786
B017,Branch_17,Mumbai,Manager_17,2007-12-20,North,Urban,+91-7344076115
B018,Branch_18,Mumbai,Manager_18,2004-09-12,West,Rural,+91-7798112150
B019,Branch_19,Mumbai,Manager_19,2015-01-12,West,Urban,+91-7294296873
B020,Branch_20,Delhi,Manager_20,2005-12-27,West,Rural,+91-9555656321
B021,Branch_21,Delhi,Manager_21,2015-09-28,East,Rural,+91-7291889680
B022,Branch_22,Bangalore,Manager_22,2021-01-03,North,Urban,+91-9900015820
B023,Branch_23,Bangalore,Manager_23,2015-05-01,North,Urban,+91-8010193046
B024,Branch_24,Mumbai,Manager_24,2014-07-14,East,Urban,+91-8734202799
